mar/94;março de 1994;R$ 582.86;;–;
abr/94;;R$ 582.86;;–;
mai/94;;R$ 582.86;;–;
jun/94;;R$ 582.86;;–;
jul/94;;R$ 582.86;;–;
ago/94;;R$ 582.86;;–;
set/94;;R$ 582.86;;–;
out/94;;R$ 582.86;;–;
nov/94;;R$ 582.86;;–;
dez/94;;R$ 582.86;;–;
jan/95;;R$ 582.86;;–;
fev/95;;R$ 582.86;;–;
mar/95;;R$ 582.86;;–;
abr/95;;R$ 582.86;;–;
mai/95;maio de 1995;R$ 832.66;;42.86%;
jun/95;;R$ 832.66;;42.86%;
jul/95;;R$ 832.66;;42.86%;
ago/95;;R$ 832.66;;42.86%;
set/95;;R$ 832.66;;42.86%;
out/95;;R$ 832.66;;42.86%;
nov/95;;R$ 832.66;;42.86%;
dez/95;;R$ 832.66;;42.86%;
jan/96;;R$ 832.66;;42.86%;
fev/96;;R$ 832.66;;42.86%;
mar/96;;R$ 832.66;;42.86%;
abr/96;;R$ 832.66;;42.86%;
mai/96;maio de 1996;R$ 957.56;;15.00%;
jun/96;;R$ 957.56;;15.00%;
jul/96;;R$ 957.56;;15.00%;
ago/96;;R$ 957.56;;15.00%;
set/96;;R$ 957.56;;15.00%;
out/96;;R$ 957.56;;15.00%;
nov/96;;R$ 957.56;;15.00%;
dez/96;;R$ 957.56;;15.00%;
jan/97;;R$ 957.56;;15.00%;
fev/97;;R$ 957.56;;15.00%;
mar/97;;R$ 957.56;;15.00%;
abr/97;;R$ 957.56;;15.00%;
mai/97;;R$ 957.56;;15.00%;
jun/97;junho de 1997;R$ 1.031.87;;7.76%;
jul/97;;R$ 1.031.87;;7.76%;
ago/97;;R$ 1.031.87;;7.76%;
set/97;;R$ 1.031.87;;7.76%;
out/97;;R$ 1.031.87;;7.76%;
nov/97;;R$ 1.031.87;;7.76%;
dez/97;;R$ 1.031.87;;7.76%;
jan/98;;R$ 1.031.87;;7.76%;
fev/98;;R$ 1.031.87;;7.76%;
mar/98;;R$ 1.031.87;;7.76%;
abr/98;;R$ 1.031.87;;7.76%;
mai/98;;R$ 1.031.87;;7.76%;
jun/98;junho de 1998;R$ 1.081.50;;4.81%;
jul/98;;R$ 1.081.50;;4.81%;
ago/98;;R$ 1.081.50;;4.81%;
set/98;;R$ 1.081.50;;4.81%;
out/98;;R$ 1.081.50;;4.81%;
nov/98;;R$ 1.081.50;;4.81%;
dez/98;dezembro de 1998;R$ 1.200.00;;10.96%;
jan/99;;R$ 1.200.00;;10.96%;
fev/99;;R$ 1.200.00;;10.96%;
mar/99;;R$ 1.200.00;;10.96%;
abr/99;;R$ 1.200.00;;10.96%;
mai/99;;R$ 1.200.00;;10.96%;
jun/99;junho de 1999;R$ 1.255.32;;4.61%;
jul/99;;R$ 1.255.32;;4.61%;
ago/99;;R$ 1.255.32;;4.61%;
set/99;;R$ 1.255.32;;4.61%;
out/99;;R$ 1.255.32;;4.61%;
nov/99;;R$ 1.255.32;;4.61%;
dez/99;;R$ 1.255.32;;4.61%;
jan/00;;R$ 1.255.32;;4.61%;
fev/00;;R$ 1.255.32;;4.61%;
mar/00;;R$ 1.255.32;;4.61%;
abr/00;;R$ 1.255.32;;4.61%;
mai/00;;R$ 1.255.32;;4.61%;
jun/00;junho de 2000;R$ 1.328.25;;5.81%;
jul/00;;R$ 1.328.25;;5.81%;
ago/00;;R$ 1.328.25;;5.81%;
set/00;;R$ 1.328.25;;5.81%;
out/00;;R$ 1.328.25;;5.81%;
nov/00;;R$ 1.328.25;;5.81%;
dez/00;;R$ 1.328.25;;5.81%;
jan/01;;R$ 1.328.25;;5.81%;
fev/01;;R$ 1.328.25;;5.81%;
mar/01;;R$ 1.328.25;;5.81%;
abr/01;;R$ 1.328.25;;5.81%;
mai/01;;R$ 1.328.25;;5.81%;
jun/01;junho de 2001;R$ 1.430.00;;7.66%;
jul/01;;R$ 1.430.00;;7.66%;
ago/01;;R$ 1.430.00;;7.66%;
set/01;;R$ 1.430.00;;7.66%;
out/01;;R$ 1.430.00;;7.66%;
nov/01;;R$ 1.430.00;;7.66%;
dez/01;;R$ 1.430.00;;7.66%;
jan/02;;R$ 1.430.00;;7.66%;
fev/02;;R$ 1.430.00;;7.66%;
mar/02;;R$ 1.430.00;;7.66%;
abr/02;;R$ 1.430.00;;7.66%;
mai/02;;R$ 1.430.00;;7.66%;
jun/02;junho de 2002;R$ 1.561.56;;9.2%;
jul/02;;R$ 1.561.56;;9.2%;
ago/02;;R$ 1.561.56;;9.2%;
set/02;;R$ 1.561.56;;9.2%;
out/02;;R$ 1.561.56;;9.2%;
nov/02;;R$ 1.561.56;;9.2%;
dez/02;;R$ 1.561.56;;9.2%;
jan/03;;R$ 1.561.56;;9.2%;
fev/03;;R$ 1.561.56;;9.2%;
mar/03;;R$ 1.561.56;;9.2%;
abr/03;;R$ 1.561.56;;9.2%;
mai/03;;R$ 1.561.56;;9.2%;
jun/03;junho de 2003;R$ 1.869.34;;19.71%;
jul/03;;R$ 1.869.34;;19.71%;
ago/03;;R$ 1.869.34;;19.71%;
set/03;;R$ 1.869.34;;19.71%;
out/03;;R$ 1.869.34;;19.71%;
nov/03;;R$ 1.869.34;;19.71%;
dez/03;;R$ 1.869.34;;19.71%;
jan/04;janeiro de 2004;R$ 2.400.00;;28.39%;
fev/04;;R$ 2.400.00;;28.39%;
mar/04;;R$ 2.400.00;;28.39%;
abr/04;;R$ 2.400.00;;28.39%;
mai/04;maio de 2004;R$ 2.508.72;;4.53%;
jun/04;;R$ 2.508.72;;4.53%;
jul/04;;R$ 2.508.72;;4.53%;
ago/04;;R$ 2.508.72;;4.53%;
set/04;;R$ 2.508.72;;4.53%;
out/04;;R$ 2.508.72;;4.53%;
nov/04;;R$ 2.508.72;;4.53%;
dez/04;;R$ 2.508.72;;4.53%;
jan/05;;R$ 2.508.72;;4.53%;
fev/05;;R$ 2.508.72;;4.53%;
mar/05;;R$ 2.508.72;;4.53%;
abr/05;;R$ 2.508.72;;4.53%;
mai/05;maio de 2005;R$ 2.668.15;;6.36%;
jun/05;;R$ 2.668.15;;6.36%;
jul/05;;R$ 2.668.15;;6.36%;
ago/05;;R$ 2.668.15;;6.36%;
set/05;;R$ 2.668.15;;6.36%;
out/05;;R$ 2.668.15;;6.36%;
nov/05;;R$ 2.668.15;;6.36%;
dez/05;;R$ 2.668.15;;6.36%;
jan/06;;R$ 2.668.15;;6.36%;
fev/06;;R$ 2.668.15;;6.36%;
mar/06;;R$ 2.668.15;;6.36%;
abr/06;abril de 2006;R$ 2.801.56;;0,05;
mai/06;;R$ 2.801.56;;0,05;
jun/06;;R$ 2.801.56;;0,05;
jul/06;;R$ 2.801.56;;0,05;
ago/06;;R$ 2.801.56;;0,05;
set/06;;R$ 2.801.56;;0,05;
out/06;;R$ 2.801.56;;0,05;
